date,temperature,humidity,soilMoisture,Length,Growth,Fruit_Label
"Wednesday,-December-20-2023-09:50:07",28,86,37.14,12.75,0,Fruit 1
"Wednesday,-December-20-2023-10:50:07",29.3,85,39.07,12.76,0.01,Fruit 1
"Wednesday,-December-20-2023-11:50:07",30.3,87,38.22,12.77,0.01,Fruit 1
"Wednesday,-December-20-2023-12:50:06",60.1,30,40,12.78,0.01,Fruit 1
"Wednesday,-December-20-2023-13:50:06",45.8,67,39.98,12.79,0.01,Fruit 1
"Wednesday,-December-20-2023-14:50:06",44.9,66,39.41,12.8,0.01,Fruit 1
"Wednesday,-December-20-2023-15:50:06",46.2,66,42.17,12.95,0.15,Fruit 1
"Wednesday,-December-20-2023-16:50:06",41.1,72,39.17,13.1,0.15,Fruit 1
"Wednesday,-December-20-2023-17:50:06",41.1,75,37.9,13.25,0.15,Fruit 1
"Wednesday,-December-20-2023-18:50:06",33.3,86,42.05,13.4,0.15,Fruit 1
"Wednesday,-December-20-2023-19:50:05",30.2,89,38.39,13.86,0.46,Fruit 1
"Wednesday,-December-20-2023-20:50:05",28,91,37.9,14.32,0.46,Fruit 1
"Wednesday,-December-20-2023-21:50:05",28,92,36.58,14.78,0.46,Fruit 1
"Wednesday,-December-20-2023-22:50:05",28,92,36.36,15.24,0.46,Fruit 1
"Wednesday,-December-20-2023-23:50:05",27.1,93,36.92,15.7,0.46,Fruit 1
"Thursday,-December-21-2023-00:50:04",26.7,93,35.26,16.16,0.46,Fruit 1
"Thursday,-December-21-2023-01:50:04",26.7,93,35.19,16.62,0.46,Fruit 1
"Thursday,-December-21-2023-02:50:05",26,91,35.95,17.08,0.46,Fruit 1
"Thursday,-December-21-2023-03:50:04",25.8,91,35.32,17.54,0.46,Fruit 1
"Thursday,-December-21-2023-04:50:05",25.3,91,34.61,18,0.46,Fruit 1
"Thursday,-December-21-2023-05:50:06",25.3,91,34.8,18.46,0.46,Fruit 1
"Thursday,-December-21-2023-06:50:07",24.8,91,34.61,18.92,0.46,Fruit 1
"Thursday,-December-21-2023-07:50:08",24.5,90,34.24,19.38,0.46,Fruit 1
"Thursday,-December-21-2023-08:50:09",25.3,89,33.73,19.84,0.46,Fruit 1
"Thursday,-December-21-2023-09:50:10",28,86,34.14,20.3,0.46,Fruit 1
"Thursday,-December-21-2023-10:50:11",29.3,85,36.07,20.52,0.22,Fruit 1
"Thursday,-December-21-2023-11:50:12",30.3,87,35.22,20.74,0.22,Fruit 1
"Thursday,-December-21-2023-12:50:13",60.1,30,37,20.96,0.22,Fruit 1
"Thursday,-December-21-2023-13:58:22",59.5,22,41.78,21.18,0.22,Fruit 1
"Thursday,-December-21-2023-14:58:03",48.1,63,41.17,21.4,0.22,Fruit 1
"Thursday,-December-21-2023-15:58:03",55.1,47,40.56,21.8875,0.4875,Fruit 1
"Thursday,-December-21-2023-16:58:03",41.1,72,39.17,22.375,0.4875,Fruit 1
"Thursday,-December-21-2023-17:58:03",40.5,66,39.27,22.8625,0.4875,Fruit 1
"Thursday,-December-21-2023-18:57:44",36.9,71,38.39,23.35,0.4875,Fruit 1
"Thursday,-December-21-2023-20:09:51",29.3,82,37.88,23.81333333,0.46333333,Fruit 1
"Thursday,-December-21-2023-21:09:51",28.3,83,37.61,24.27666667,0.46333334,Fruit 1
"Thursday,-December-21-2023-22:09:51",27.1,83,37.24,24.74,0.46333333,Fruit 1
"Thursday,-December-21-2023-23:09:50",26.7,82,36.19,25.20333333,0.46333333,Fruit 1
"Friday,-December-22-2023-00:09:50",26.2,82,36.02,25.66666667,0.46333334,Fruit 1
"Friday,-December-22-2023-01:09:50",25.3,81,35.31,26.13,0.46333333,Fruit 1
"Friday,-December-22-2023-02:09:49",25.3,82,35.58,26.59333333,0.46333333,Fruit 1
"Friday,-December-22-2023-03:09:49",25.3,81,34.82,27.05666667,0.46333334,Fruit 1
"Friday,-December-22-2023-04:09:49",25.2,82,35.92,27.52,0.46333333,Fruit 1
"Friday,-December-22-2023-05:09:49",24.9,82,34.6,27.98333333,0.46333333,Fruit 1
"Friday,-December-22-2023-06:09:49",24.8,82,34.77,28.44666667,0.46333334,Fruit 1
"Friday,-December-22-2023-07:09:49",24.5,83,34.51,28.91,0.46333333,Fruit 1
"Friday,-December-22-2023-08:09:48",24.5,83,34.36,29.37333333,0.46333333,Fruit 1
"Friday,-December-22-2023-09:09:48",26.2,80,34.33,29.83666667,0.46333334,Fruit 1
"Friday,-December-22-2023-10:09:48",27.6,80,33.92,30.3,0.46333333,Fruit 1
"Friday,-December-22-2023-11:09:48",30.8,75,31.75,30.85,0.55,Fruit 1
"Friday,-December-22-2023-12:09:48",41.6,62,33.11,31.4,0.55,Fruit 1
"Friday,-December-22-2023-13:09:48",60.1,22,33.46,31.95,0.55,Fruit 1
"Friday,-December-22-2023-14:09:47",55.4,47,33.85,32.5,0.55,Fruit 1
"Friday,-December-22-2023-15:09:47",50.5,56,33.99,33.5,1,Fruit 1
"Friday,-December-22-2023-16:09:47",53.7,51,34.92,34.5,1,Fruit 1
"Friday,-December-22-2023-17:09:46",40.1,74,34.04,35.5,1,Fruit 1
"Friday,-December-22-2023-18:09:46",37.2,79,34.63,36.5,1,Fruit 1
"Friday,-December-22-2023-19:09:46",31.9,83,34.31,37.05625,0.55625,Fruit 1
"Friday,-December-22-2023-20:09:46",30.2,83,33.97,37.6125,0.55625,Fruit 1
"Friday,-December-22-2023-21:09:46",29.3,84,33.09,38.16875,0.55625,Fruit 1
"Friday,-December-22-2023-22:09:46",28.9,82,32.92,38.725,0.55625,Fruit 1
"Friday,-December-22-2023-23:09:45",28.5,82,32.84,39.28125,0.55625,Fruit 1
"Saturday,-December-23-2023-00:09:45",28,81,32.48,39.8375,0.55625,Fruit 1
"Saturday,-December-23-2023-01:09:45",27.6,82,32.14,40.39375,0.55625,Fruit 1
"Saturday,-December-23-2023-02:09:45",27.2,81,32.82,40.95,0.55625,Fruit 1
"Saturday,-December-23-2023-03:09:45",27.6,81,32.45,41.50625,0.55625,Fruit 1
"Saturday,-December-23-2023-04:09:45",27.1,81,33.02,42.0625,0.55625,Fruit 1
"Saturday,-December-23-2023-05:09:44",27.6,81,31.48,42.61875,0.55625,Fruit 1
"Saturday,-December-23-2023-06:09:44",27.1,81,31.53,43.175,0.55625,Fruit 1
"Saturday,-December-23-2023-07:09:44",27.1,81,31.7,43.73125,0.55625,Fruit 1
"Saturday,-December-23-2023-08:09:43",26.7,81,31.62,44.2875,0.55625,Fruit 1
"Saturday,-December-23-2023-09:09:43",29,77,31.4,44.84375,0.55625,Fruit 1
"Saturday,-December-23-2023-10:09:44",30.2,76,31.6,45.4,0.55625,Fruit 1
"Saturday,-December-23-2023-11:09:43",35.2,69,31.65,46.2,0.8,Fruit 1
"Saturday,-December-23-2023-12:09:43",40.6,66,32.16,47,0.8,Fruit 1
"Saturday,-December-23-2023-13:09:43",45.3,61,31.7,47.8,0.8,Fruit 1
"Saturday,-December-23-2023-14:09:42",35.6,77,31.55,48.6,0.8,Fruit 1
"Saturday,-December-23-2023-15:09:42",44.5,61,32.38,49.18,0.58,Fruit 1
"Saturday,-December-23-2023-16:09:42",41.1,67,32.09,49.76,0.58,Fruit 1
"Saturday,-December-23-2023-17:09:42",34.7,77,32.67,50.34,0.58,Fruit 1
"Saturday,-December-23-2023-18:09:42",33.8,76,31.79,50.92,0.58,Fruit 1
"Saturday,-December-23-2023-19:09:42",31.3,79,32.84,51.5,0.58,Fruit 1
"Saturday,-December-23-2023-20:10:34",29.8,84,39.05,52.25833333,0.75833333,Fruit 1
"Saturday,-December-23-2023-21:10:34",28.5,83,37.9,53.01666667,0.75833334,Fruit 1
"Saturday,-December-23-2023-22:10:34",28,84,36.97,53.775,0.75833333,Fruit 1
"Saturday,-December-23-2023-23:10:33",27.7,85,36.85,54.53333333,0.75833333,Fruit 1
"Sunday,-December-24-2023-00:10:33",27.6,85,38.66,55.29166667,0.75833334,Fruit 1
"Sunday,-December-24-2023-01:10:33",27.6,85,38.56,56.05,0.75833333,Fruit 1
