Date,temperature,Humidity,soilMoisture,Predicted_Length,Predicted_Growth,Actual_Length,Actual_Growth,Predicted_Length2,Predicted_Growth2,,,,,
"Wednesday,-December-20-2023-09:50:132",50.7,43,34.48,,,13,0,13,0,,,,,
"Wednesday,-December-20-2023-09:50:133",60.8,33,36.83,,,13.4,0.4,13.09,0.09,,,,,
"Wednesday,-December-20-2023-09:50:134",60.1,37,33.99,,,13.8,0.4,13.21,0.12,,,,,
"Wednesday,-December-20-2023-09:50:135",43.9,66,34.48,,,14.2,0.4,13.33,0.12,,,,,
"Wednesday,-December-20-2023-09:50:136",35.6,76,33.97,,,14.6,0.4,13.47,0.14,,,,,
"Wednesday,-December-20-2023-09:50:137",31.3,79,38.29,,,15.06,0.46,13.66,0.19,,,,,
"Wednesday,-December-20-2023-09:50:138",28.9,80,36.92,,,15.52,0.46,14,0.34,,,,,
"Wednesday,-December-20-2023-09:50:139",28.9,78,38.1,,,15.98,0.46,14.38,0.38,,,,,
"Wednesday,-December-20-2023-09:50:140",28.1,77,36.92,,,16.44,0.46,14.8,0.42,,,,,
"Wednesday,-December-20-2023-09:50:141",27.6,78,36.8,,,16.9,0.46,15.23,0.43,,,,,
"Wednesday,-December-20-2023-09:50:142",27.6,77,36.14,,,17.36,0.46,15.66,0.43,,,,,
"Wednesday,-December-20-2023-09:50:143",27.6,78,36.31,,,17.82,0.46,16.09,0.43,,,,,
"Wednesday,-December-20-2023-09:50:144",27.7,77,36.09,,,18.28,0.46,16.52,0.43,,,,,
"Wednesday,-December-20-2023-09:50:145",27.6,78,36,,,18.74,0.46,16.95,0.43,,,,,
"Wednesday,-December-20-2023-09:50:146",27.2,78,35.53,,,19.2,0.46,17.38,0.43,,,,,
"Wednesday,-December-20-2023-09:50:147",27.6,77,35.75,,,19.66,0.46,17.81,0.43,,,,,
"Wednesday,-December-20-2023-09:50:148",27.6,77,36.29,,,20.12,0.46,18.24,0.43,,,,,
"Wednesday,-December-20-2023-09:50:149",26.7,78,35.41,,,20.58,0.46,18.67,0.43,,,,,
"Wednesday,-December-20-2023-09:50:150",28,75,35.29,,,21.04,0.46,19.1,0.43,,,,,
"Wednesday,-December-20-2023-09:50:151",32.4,70,32.8,,,21.5,0.46,19.52,0.42,,,,,
"Wednesday,-December-20-2023-09:50:152",41.6,55,34.53,,,22.09,0.59,19.93,0.41,,,,,
"Wednesday,-December-20-2023-09:50:153",48.2,46,33.33,,,22.68,0.59,20.29,0.36,,,,,
"Wednesday,-December-20-2023-09:50:154",48.3,49,31.4,,,23.27,0.59,20.65,0.36,,,,,
"Wednesday,-December-20-2023-09:50:155",60.1,27,34.63,,,23.86,0.59,20.93,0.28,,,,,
"Wednesday,-December-20-2023-09:50:156",55,45,36,,,24.45,0.59,21.26,0.33,,,,,
"Tuesday,-December-26-2023-16:11:30",49.8,49,34.51,,,24.8625,0.4125,21.57,0.31,,,,,
"Tuesday,-December-26-2023-17:11:29",38,68,34.53,,,25.275,0.4125,21.97,0.4,,,,,
"Tuesday,-December-26-2023-18:11:29",36.9,66,34.58,,,25.6875,0.4125,22.42,0.45,,,,,
"Tuesday,-December-26-2023-19:11:29",32.3,71,38.27,,,26.1,0.4125,22.9,0.48,,,,,
"Tuesday,-December-26-2023-20:11:29",28.9,76,37.09,,,26.57272727,0.472727273,23.37,0.47,,,,,
"Tuesday,-December-26-2023-21:11:29",28.5,76,35.92,,,27.04545455,0.472727273,23.84,0.47,,,,,
"Tuesday,-December-26-2023-22:11:29",27.6,77,35.53,,,27.51818182,0.472727273,24.31,0.47,,,,,
"Tuesday,-December-26-2023-23:11:28",28,76,34.75,,,27.99090909,0.472727273,24.77,0.46,,,,,
"Wednesday,-December-27-2023-00:11:28",27.6,78,35.36,,,28.46363636,0.472727273,25.23,0.46,,,,,
"Wednesday,-December-27-2023-01:11:28",27.5,78,35.16,,,28.93636364,0.472727273,25.7,0.47,,,,,
"Wednesday,-December-27-2023-02:11:28",27.1,78,35.02,,,29.40909091,0.472727273,26.17,0.47,,,,,
"Wednesday,-December-27-2023-03:11:28",27.1,78,34.99,,,29.88181818,0.472727273,26.64,0.47,,,,,
"Wednesday,-December-27-2023-04:11:28",27.1,79,35.56,,,30.35454545,0.472727273,27.1,0.46,,,,,
"Wednesday,-December-27-2023-06:11:27",26.7,79,35.65,,,30.82727273,0.472727273,27.56,0.46,,,,,
"Wednesday,-December-27-2023-07:11:27",26.7,79,35.16,,,31.3,0.472727273,28.01,0.45,,,,,
"Wednesday,-December-27-2023-08:11:26",26.7,80,35.16,,,31.85,0.55,28.46,0.45,,,,,
"Wednesday,-December-27-2023-09:11:26",30.8,71,35.09,,,32.4,0.55,28.96,0.5,,,,,
"Wednesday,-December-27-2023-10:11:26",34.7,67,19.37,,,33.25,0.85,29.49,0.53,,,,,
"Wednesday,-December-27-2023-11:11:26",39.6,64,4.22,,,34.1,0.85,30.02,0.53,,,,,
"Wednesday,-December-27-2023-12:11:26",35.6,72,37.02,,,34.95,0.85,30.52,0.5,,,,,
"Wednesday,-December-27-2023-14:11:37",59.6,39,37.8,,,35.8,0.85,30.96,0.44,,,,,
"Wednesday,-December-27-2023-15:11:37",53.3,46,37.17,,,36.65,0.85,31.47,0.51,,,,,
"Wednesday,-December-27-2023-16:11:38",43,62,37.51,,,37.4,0.75,32.06,0.59,,,,,
"Wednesday,-December-27-2023-17:11:37",47.7,53,36.85,,,38.15,0.75,32.75,0.69,,,,,
"Wednesday,-December-27-2023-18:11:37",41.6,63,37.61,,,38.9,0.75,33.8,1.05,,,,,
